herosforge	The Hero's Forge	name	ls	id	862
highkeep	High Keep	name	classic	id	6,412,458
highpass	Highpass Hold	curated	classic	id	5,407
highpasshold	Highpass Hold	name	classic	id	5,407
hillsofshade	Hills of Shade	name	sof	id	444
hohonora	The Halls of Honor	curated	pop	id	211
hole	The Ruins of Old Paineel	curated	classic	id	39
hollowshade	Hollowshade Moor	curated	luclin	id	166,666,858
iceclad	The Iceclad Ocean	curated	velious	id	110
icefall	Icefall Glacier	graph	tss	id	400
innothule	Innothule Swamp	curated	classic	id	46,413,807
innothuleb	Gukta, Outpost of Marr	curated	tbm	id	806
jardelshook	Jardel's Hook	name	tbs	id	424
kael	Kael Drakkel	curated	velious	id	113,829
kaesora	Kaesora	name	kunark	id	88
kaladima	North Kaladim	curated	classic	id	67
kaladimb	South Kaladim	curated	classic	id	60
karnor	Karnor's Castle	curated	kunark	id	102
katta	Katta Castellum	curated	luclin	id	160
kattacastrum	Katta Castrum	name	tbs	id	416
kedge	Kedge Keep	curated	classic	id	64
kerraridge	Kerra Isle	curated	classic	id	74
kithicor	Kithicor Forest	graph	classic	id	20,410,506,507
kurn	Kurn's Tower	curated	kunark	id	97,455
lakeofillomen	Lake of Ill Omen	name	kunark	id	85
lakerathe	Lake Rathetear	curated	classic	id	51
laurioninn	Laurion Inn	name	ls	id	859
lavastorm	The Lavastorm Mountains	graph	classic	id	27
lceanium	Lceanium	name	eok	curated	794
lfaydark	The Lesser Faydark	curated	classic	id	57,557
lichencreep	Lichen Creep	name	uf	id	487
lopingplains	Loping Plains	name	sof	id	443
maiden	The Maiden's Eye	curated	luclin	id	173,843
maidensgrave	Maiden's Grave	name	tbs	id	429
mansion	Meldrath's Majestic Mansion	graph	sof	id	437
mechanotus	Fortress Mechanotus	graph	sof	id	436
mesa	Goru`kar Mesa	graph	tss	id	397
mistmoore	The Castle of Mistmoore	curated	classic	id	59,505
misty	Misty Thicket	curated	classic	id	33,415
mistythicket	Misty Thicket	name	classic	id	33,415
monkeyrock	Monkey Rock	name	tbs	id	425
moors	Blightfire Moors	graph	tss	id	395
moorsofnokk	Moors of Nokk	name	ls	id	863
najena	Najena	name	classic	id	44
necropolis	Dragon Necropolis	curated	velious	id	123,832
neighborhood	Sunrise Hills	curated	hot	id	712
nektropos	Nektropos	name	classic	id	28
nektulos	Nektulos Forest	curated	classic	id	25,525
neriaka	Neriak - Foreign Quarter	curated	classic	id	40,808
neriakb	Neriak - Commons	curated	classic	id	41
neriakc	Neriak - Third Gate	curated	classic	id	42
neriakd	Neriak - Fourth Gate	curated	cotf	curated	43
newsebexp	New Sebilis Expedition	curated			99
nexus	The Nexus	name	luclin	id	152
northkarana	The Northern Plains of Karana	curated	classic	id	13,513
northro	North Desert of Ro	curated	por	id	392
nro	The Northern Desert of Ro	curated	classic	id	34
nurga	The Mines of Nurga	curated	kunark	id	107,607
oasis	The Oasis of Marr	curated	classic	id	37,537
oceangreenhills	Oceangreen Hills	name	sod	id	466
oceangreenvillage	Oceangreen Village	name	sod	id	467
oceanoftears	The Ocean of Tears	name	classic	id	69,409,569
oggok	Oggok	name	classic	id	49
oldkaesoraa	Kaesora Library	curated	sod	id	453
oot	The Ocean of Tears	curated	classic	id	69,409,569
overthere	The Overthere	name	kunark	id	93,815
overtheretwo	The Temple of Droga	graph	kunark	id	81,581,788
paineel	Paineel	name	classic	id	75
pallomen	Pal'Lomen	name	ls	id	861
paludal	Paludal Caverns	curated	luclin	id	156
paw	The Lair of the Splitpaw	curated	classic	id	18
permafrost	Permafrost Keep	curated	classic	id	73,804
podisease	The Plane of Disease	curated	pop	id	205
poinnovation	The Plane of Innovation	curated	pop	id	206
pojustice	The Plane of Justice	curated	pop	id	201
poknowledge	The Plane of Knowledge	curated	pop	id	202
ponightmare	The Plane of Nightmare	curated	pop	id	204
postorms	The Plane of Storms	curated	pop	id	210
potactics	Drunder, the Fortress of Zek	curated	pop	id	214
potimea	The Plane of Time	curated	pop	id	219
potorment	Torment, the Plane of Pain	curated	pop	id	207
potranquility	The Plane of Tranquility	curated	pop	id	203
povalor	The Plane of Valor	curated	pop	id	208
precipiceofwar	Precipice of War	name	sod	id	473
provinggrounds	Proving Grounds	name	oow	id	304,305,306,307,308,309
qcat	The Qeynos Aqueduct System	curated	classic	id	45
qey2hh1	The Western Plains of Karana	curated	classic	id	12
qeynos	South Qeynos	curated	classic	id	1
qeynos2	North Qeynos	curated	classic	id	2,502
qeytoqrg	Qeynos Hills	curated	classic	id	4,904
qrg	Surefall Glade	curated	classic	id	3
rathemtn	The Rathe Mountains	curated	classic	id	50,551
rivervale	Rivervale	name	classic	id	19
runnyeye	The Liberated Citadel of Runnyeye	curated	classic	id	11
scarlet	The Scarlet Desert	graph	luclin	id	175
scorchedwoods	The Scorched Woods	name	eok	curated	790
sebilis	The Ruins of Sebilis	curated	kunark	id	89
shadowhaven	Shadow Haven	name	luclin	id	150
shadowrest	Shadowrest	name	pop	curated	187
shadowspine	Shadowspine	name	dodh	id	364
shadowvalley	Shadow Valley	name	tol	id	847
shardslanding	Shard's Landing	name	rof	id	752
sharvahl	Shar Vahl	name	luclin	id	155
shipworkshop	S.H.I.P. Workshop	name	sof	id	439
skylance	Skylance	name	por	id	371
skyshrine	Skyshrine	name	velious	id	114,803,835
sleeper	The Sleeper's Tomb	curated	velious	id	128,628,801,831
soldunga	Solusek's Eye	curated	classic	id	31
soldungb	Nagafen's Lair	curated	classic	id	32
solrotower	The Tower of Solusek Ro	curated	pop	id	212
soltemple	The Temple of Solusek Ro	curated	classic	curated	80
southkarana	The Southern Plains of Karana	curated	classic	id	14
southro	South Desert of Ro	curated	por	id	393
sro	The Southern Desert of Ro	curated	classic	id	35
ssratemple	Ssraeshza Temple	graph	luclin	id	162
steamfactory	The Steam Factory	name	sof	id	438
steamfont	The Steamfont Mountains	curated	classic	id	56,448
steamfontmts	The Steamfont Mountains	graph	classic	id	56,448
steppes	The Steppes	name	tss	id	399
stonebrunt	The Stonebrunt Mountains	curated	classic	curated	100
stonehive	Stone Hive	name	tss	id	396
sunderock	Sunderock Springs	curated	tss	id	403
swampofnohope	The Swamp of No Hope	name	kunark	id	83
tempesttemple	Tempest Temple	name	tds	id	785
templeveeshan	The Temple of Veeshan	curated	velious	id	124,836
tenebrous	The Tenebrous Mountains	curated	luclin	id	172
theater	Theater	name	por	id	390
thedeep	The Deep	name	luclin	id	164
thegrey	The Grey	name	luclin	id	171
thevoida	The Void	graph	sod	id	459,460,461,462,463,464,465,773
thuledream	Fear Itself	curated	hot	id	711
thurgadina	The City of Thurgadin	curated	velious	id	115,615
thurgadinb	Icewell Keep	curated	velious	id	129,629
timorous	Timorous Deep	curated	kunark	id	96,596
timorousfalls	Timorous Falls	name	tob	id	865
toskirakk	Toskirakk	name	sod	id	475
towerofrot	Tower of Rot	name	cotf	id	775
tox	Toxxulia Forest	curated	classic	id	38,414
toxxulia	Toxxulia Forest	curated	classic	id	38,414
trakanon	Trakanon's Teeth	graph	kunark	id	95
twilight	The Twilight Sea	graph	luclin	id	170
umbraltwo	The Umbral Plains	graph	luclin	id	176,844
underquarry	The Underquarry	name	uf	id	482
unkemptwoods	Unkempt Woods	name	tob	id	864
unrest	The Estate of Unrest	curated	classic	id	63
valdeholm	Valdeholm	name	tss	id	401
veeshan	Veeshan's Peak	curated	kunark	id	108,508,816
veksar	Veksar	name	kunark	id	109
velketor	Velketor's Labyrinth	curated	velious	id	112,828
vexthal	Vex Thal	name	luclin	id	158,846
wakening	The Wakening Land	curated	velious	id	119
wallofslaughter	Wall of Slaughter	name	oow	id	300
warrens	The Warrens	name	classic	curated	101
warslikswood	The Warsliks Woods	graph	kunark	id	79
weddingchapel	Wedding Chapel	name	uf	id	493,494
well	The Well	name	hot	id	705
westwastes	The Western Wastes	curated	velious	id	120,834
